"Search Number","Cluster","Search Epoch Program ID","Last Epoch MJD","Search Epoch MJD","Effective Cadence","Reddest Filter","Limiting Mag (5-sigma AB)","Note"
4,Abell383,12065,55519,55621,102,F160W,26.8,CLASH-CLASH(cla)
37,MACSJ1149,12068,55577,55629,52,F160W,26.8,CLASH-CLASH(clb)
3,Abell2261,12066,55629,55702,73,F160W,26.8,CLASH-CLASH(clc)
11,MACSJ1206,12069,55654,55737,83,F160W,26.8,CLASH-CLASH(cld)
48,RXJ1347,12104,55670,55756,86,F160W,26.8,CLASH-CLASH(cle)
45,MACSJ2129,12100,55696,55776,80,F160W,26.8,CLASH-CLASH(clf)
7,MACSJ0329,12452,55791,55866,75,F160W,26.8,CLASH-CLASH(clg)
15,MS2137,12102,55794,55866,72,F160W,26.8,CLASH-CLASH(clh)
9,MACSJ0647,12101,55839,55894,55,F160W,26.8,CLASH-CLASH(clk)
29,MACSJ0717,12103,55805,55904,99,F160W,26.8,CLASH-CLASH(cli)
34,MACSJ0744,12067,55826,55924,98,F160W,26.8,CLASH-CLASH(clj)
10,MACSJ1115,12453,55910,55981,71,F160W,26.8,CLASH-CLASH(cll)
16,RXJ1532,12454,55960,56029,69,F160W,26.8,CLASH-CLASH(cln)
5,Abell611,12460,55954,56064,110,F160W,26.8,CLASH-CLASH(clm)
13,MACSJ1720,12455,56012,56095,83,F160W,26.8,CLASH-CLASH(clo)
14,MACSJ1931,12456,56027,56103,76,F160W,26.8,CLASH-CLASH(clq)
17,RXJ2129,12457,56020,56128,108,F160W,26.8,CLASH-CLASH(clp)
2,Abell209,12451,56106,56193,87,F160W,26.8,CLASH-CLASH(clr)
24,MACSJ0416,12459,56132,56197,65,F160W,26.8,CLASH-CLASH(cls)
50,RXJ2248,12458,56169,56235,66,F160W,26.8,CLASH-CLASH(clt)
8,MACSJ0429,12788,56257,56319,62,F160W,26.8,CLASH-CLASH(clu)
1,Abell1423,12787,56261,56336,75,F160W,26.8,CLASH-CLASH(clv)
42,MACSJ1423,12790,56292,56363,71,F160W,26.8,CLASH-CLASH(clw)
6,CLJ1226,12791,56390,56465,75,F160W,26.8,CLASH-CLASH(clx)
12,MACSJ1311,12789,56396,56482,86,F160W,26.8,CLASH-CLASH(cly)
18,Abell2744,13495,56527,56590,63,F160W,26.8,HFF1-HFF0
38,MACSJ1149,13504,55629,56598,969,F160W,26.8,HFF0-CLASH
19,Abell2744,13495,56590,56624,34,F160W,28.4,HFF2-HFF1
30,MACSJ0717,13459,55904,56656,752,F140W,26.9,GLASS-CLASH
43,MACSJ1423,13459,56363,56698,335,F140W,26.9,GLASS-CLASH
31,MACSJ0717,13459,56656,56707,51,F140W,26.9,GLASS-(CLASH+GLASS)
39,MACSJ1149,13459,56598,56713,115,F140W,26.9,GLASS-CLASH
44,MACSJ1423,13459,56698,56762,64,F140W,26.9,GLASS-(CLASH+GLASS)
51,RXJ2248,13459,56235,56804,569,F140W,26.9,GLASS-CLASH
46,MACSJ2129,13459,55776,56806,1030,F140W,26.9,GLASS-CLASH
49,RXJ1347,13459,55756,56808,1052,F140W,26.9,GLASS-CLASH
25,MACSJ0416,13496,56197,56870,673,F160W,28.4,HFF1-CLASH
52,RXJ2248,13459,56804,56878,74,F140W,26.9,GLASS-(GLASS+CLASH)
47,MACSJ2129,13459,56806,56884,78,F140W,26.9,GLASS-(GLASS+CLASH)
20,Abell2744,13459,56624,56893,269,F140W,26.9,GLASS-HFF
26,MACSJ0416,13496,56870,56901,31,F160W,28.4,HFF2-(HFF1+CLASH)
35,MACSJ0744,13459,55924,56934,1010,F140W,26.9,GLASS-CLASH
21,Abell2744,13459,56893,56955,62,F140W,26.9,GLASS-(HFF+GLASS)
22,Abell370,13459,55102,56959,1857,F140W,26.9,GLASS-archive
40,MACSJ1149,13459,56713,56981,268,F160W,28.4,HFF1-CLASH
27,MACSJ0416,13459,56901,56991,90,F140W,26.9,GLASS-HFF
23,Abell370,13459,56959,57003,44,F140W,26.9,GLASS-(archive+GLASS)
41,MACSJ1149,13504,56981,57029,48,F160W,28.4,HFF2-(HFF+CLASH+GLASS)
36,MACSJ0744,13459,56934,57030,96,F140W,26.9,GLASS-(CLASH+GLASS)
28,MACSJ0416,13459,56991,57040,49,F140W,26.9,GLASS-(HFF+GLASS)
32,MACSJ0717,13498,56707,57063,356,F160W,28.4,HFF1-(CLASH+GLASS)
33,MACSJ0717,13498,57063,57124,61,F160W,28.4,HFF2-(HFF1+CLASH+GLASS)